"id","category","question","answer","origin","date","url"
11,"","How isphysical accessto information and application systems and functions by users and by support personnel restricted in accordance with your company’s defined access control policy?","Google Data centers maintain secure external perimeter protections. All data centers employ electronic card key access control system that are linked to a system alarm. Access to perimeter doors, shipping and receiving, and other critical areas is logged, including unauthorized activity. Failed access attempts are logged by the access control system and investigated as appropriate. Authorized access throughout the business operations and data centers is restricted based on an individual’s job responsibilities. The fire doors at the data centers are alarmed and can only be opened from the inside. CCTV cameras are in operation both inside and outside the data centers. The positioning of the cameras has been designed to help cover strategic areas including, among others, the perimeter, doors to the data center building, and shipping/receiving. Security operations personnel manage the CCTV monitoring, recording and control equipment. Cameras record on site via digital video recorders 24 hours a day, 7 days a week.

Google’s internal data access processes and policies are designed to prevent unauthorized persons and/or systems from gaining access to systems used to process personal data. Google aims to design its systems to: (i) only allow authorized persons to access data they are authorized to access; and (ii) ensure that personal data cannot be read, copied, altered or removed without authorization during processing, use and after recording. The systems are designed to detect any inappropriate access. Google employs a centralized access management system to control personnel access to production servers, and only provides access to a limited number of authorized personnel. LDAP, Kerberos and a proprietary system utilizing RSA keys are designed to provide Google with secure and flexible access mechanisms. These mechanisms are designed to grant only approved access rights to site hosts, logs, data and configuration information. Google requires the use of unique user IDs, strong passwords; two factor authentication and carefully monitored access lists to minimize the potential for unauthorized account use. The granting or modification of access rights is based on: the authorized personnel’s job responsibilities; job duty requirements necessary to perform authorized tasks; a need to know basis; and must be in accordance with Google’s internal data access policies and training. Approvals are managed by workflow tools that maintain audit records of all changes. Access to systems is logged to create an audit trail for accountability. Where passwords are employed for authentication (e.g., login to workstations), password policies that follow at least industry standard practices are implemented. These standards include password expiry, restrictions on password reuse and sufficient password strength. For access to extremely sensitive information (e.g., credit card data), Google uses hardware tokens","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
12,"","Does your company locate any aspect of its information technology operations and/or support outside of the USA (including via use of third-party vendors or outsourcers outside of the USA)?","Yes,Today Google has more than 70 offices in more than 40 countries around the globe. The Google Technical Infrastructure team runs, manages, and supports the technology needs for Google employees and customer facing solutions such as Google Cloud Platform. Corp Eng empowers Googlers with world leading technology. Corp Eng operates in over 50 global offices across 6 continents","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
13,"","If “yes,” then please list such off-shore IT operations and/or support locations by country (include name of any third-party vendors/outsourcers).","Google offices:https://www.google.com/about/company/facts/locations/
Google data centers:
https://www.google.com/about/datacenters/inside/locations/index.html
Google sub-processors:
https://www.google.com/intx/en/work/apps/terms/subprocessors.html","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
14,"","Identifyfile formats(.doc, .xls. .jpeg, etc.) of all anticipated data flows/exchanges related to the services your company might provide to McKesson.","N/A for Google Cloud Platform","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
15,"","Identify the data elements (first name, last name, SSN, Credit Card info, health records, etc.) required from McKesson as part of service offering.","A Google Cloud Platform Console user is not required to enter any PII into the site. To access the Google Cloud Platform, the user will be authenticated using a Google account or an SSO-enabled Google for Work domain account. Large enterprise customers such as McKesson typically use SSO-enabled Google for Work domain account so the McKesson user would use their existing corporate credentials.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
16,"","Identify thegeographic location– preferably, using a flow chart/diagram format -- of all anticipated data flows related to the services your company will provide to McKesson. For geographic location identification: if within the USA, then city/state is sufficient; if outside of the USA, then country is sufficient.","Google Cloud Platform provides services from several data centers. At this time, we are unable to anticipate which services and data centers are most applicable to McKesson. Here is a list of the Google Cloud data centers and the services offered at the zone, region, and cross region level.https://cloud.google.com/about/locations/#locations

Council Bluffs, IA - us-central1
Berkeley County, SC - us-east1
St. Ghislain, Belgium - europe-west1
Changhua County, Taiwan - asia-east1
*Dalles, Oregon - Q3 2016
*Tokyo, Japan - H2 2016","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
17,"","Identify the geographic location of all of your employees and contractors who might be able to view/access McKesson data, even if such access is read-only.","Google maintains a Data Security policy that governs access to customer data.

Google’s internal data access processes and policies are designed to prevent unauthorized persons and/or systems from gaining access to systems used to process personal data. Google aims to design its systems to: (i) only allow authorized persons to access data they are authorized to access; and (ii) ensure that personal data cannot be read, copied, altered or removed without authorization during processing, use and after recording. The systems are designed to detect any inappropriate access. Google employs a centralized access management system to control personnel access to production servers, and only provides access to a limited number of authorized personnel. LDAP, Kerberos and a proprietary system utilizing RSA keys are designed to provide Google with secure and flexible access mechanisms. These mechanisms are designed to grant only approved access rights to site hosts, logs, data and configuration information. Google requires the use of unique user IDs, strong passwords; two factor authentication and carefully monitored access lists to minimize the potential for unauthorized account use. The granting or modification of access rights is based on: the authorized personnel’s job responsibilities; job duty requirements necessary to perform authorized tasks; a need to know basis; and must be in accordance with Google’s internal data access policies and training. Approvals are managed by workflow tools that maintain audit records of all changes. Access to systems is logged to create an audit trail for accountability. Where passwords are employed for authentication (e.g., login to workstations), password policies that follow at least industry standard practices are implemented. These standards include password expiry, restrictions on password reuse and sufficient password strength. For access to extremely sensitive information (e.g., credit card data), Google uses hardware tokens.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
18,"","Identify the geographic location of all of your data center(s) (“DC(s)”), both primary and backup, and whether owned, leased or outsourced, that might receive, store or process McKesson data. For each DC, indicate whether that DC is: (A) primary or backup, and (B) owned, leased or outsourced,","Council Bluffs, IA - Primary, Owned
Berkeley County, SC - Primary, Owned
St. Ghislain, Belgium - Primary, Owned
Changhua County, Taiwan - Primary, Owned
*Dalles, Oregon (Q3 2016) - Primary, Owned
*Tokyo, Japan (H2 2016) - Primary, Owned

Google automatically replicates to and serves data from multiple data centers to provide seamless access to end-users should a datacenter not be available.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
19,"","For each DC owned by you, please state: do you manage that DC itself, or do you outsource management of that DC to a third party?
(If the latter, please identify that 3rdparty.)","Google owns and manages all of our data centers.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
20,"","How do your agreements with third parties involving accessing, processing, communicating or managing your information or information assets (including adding products or services to your information assets) cover all relevant security requirements in your Information Security Policy?","Google employs a vendor management process that includes contractual requirements to adhere to Google's security policies and onsite inspections, as needed, to confirm compliance.

Google's policy is that the Legal department reviews third-party contracts.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
21,"","How are the services, reports and records provided to your organization by third parties regularly monitored, reviewed, and audited to govern and maintain compliance with the service delivery commitments in your agreements with those third parties?","Google employs a vendor management process that includes contractual requirements to adhere to Google's security policies and onsite inspections, as needed, to confirm compliance.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
22,"","Are there third party audit or compliance reports for your information system environments (e.g., SSAE 16 or SOC; PCI or HIPAA compliance reports)?","Our customers and regulators expect independent verification of security, privacy and compliance controls. Google undergoes several independent third party audits on a regular basis to provide this assurance. This means that an independent auditor has examined the controls present in our data centers, infrastructure and operations. Google has annual audits for the following standards:
SSAE16 / ISAE 3402 Type II: SOC 2 SOC 3 public audit report ISO 27001, one of the most widely recognized, internationally accepted independent security standards. Google has earned ISO 27001 certification for the systems, applications, people, technology, processes and data centers serving Google Cloud Platform. Our ISO 27001 Certificate is here. ISO 27017, Cloud Security, This is an international standard of practice for information security controls based on ISO/IEC 27002 specifically for cloud services. Our ISO 27017 Certificate is here. ISO 27018, Cloud Privacy, Privacy, This is an international standard of practice for protection of personally identifiable information (PII) in public clouds services. Our ISO 27018 Certificate is here. FedRamp ATO for Google App Engine PCI DSS v3.1Google’s third party audit approach is designed to be comprehensive in order to provide assurances of Google’s level of information security with regard to confidentiality, integrity and availability. Customers may use these third party audits to assess how Google’s products can meet their compliance and data-processing needs.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
23,"","If “yes,” then please provide copies of such reports.","SOC 3 public audit report
ISO 27001 Certificate
ISO 27017 Certificate
ISO 27018 Certificate
PCI DSS v3.1","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
24,"","Requirements Compliance. How are all relevant statutory, regulatory, and contractual requirements and the organization's approach to meet these requirements explicitly defined, documented, and kept up to date for each information system and your organization?","Our customers have varying regulatory compliance needs. Our clients operate across regulated industries, including finance, pharmaceutical and manufacturing.
Our most up-to-date compliance information isavailable here","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
25,"","Records Protection. How are important records at your company protected from loss, destruction, and falsification, in accordance with statutory, regulatory, contractual, and business requirements?","Internal records and documents are stored on Google Drive. Google Drive contains three primary functional components to protect content within the corpus:
Sharing controls Auditing and alert controls Content rights controlsSharing controls
With Google Drive, documents aren’t emailed as attachments, but rather they are shared via https hyperlinks. This centralizes access control in the cloud and allows content owners to grant and revoke permissions in a simple and secure way. While the document sharing is a user action, the available scope of sharing is controlled by administrators at a domain-wide level. Administrators can prevent sharing content outside of the domain, as well as set default sharing levels.
Google describes the sharing model in Drive asSharing That Just Works. Every piece of content within Drive has a access control list that governs ability to View, Comment, Edit and Share permissions. Adding a new collaborator to a document is easy - the owner (or if allowed to do so, an editor) simply clicks “Add new user”.
Once shared to the new collaborator, they would be able to work with document, as defined by the owner. The three levels of permissions are:
Edit rights. This gives the user the ability to edit the content. For Google formats (Docs, Sheets, Slides, Drawings, and Forms), this means that they can edit the files directly. For non-Google formats (PDFs, MS Office files, etc), this means that they can upload new versions of the document to overwrite the existing copy in Drive. NOTE: Editors do not have rights to add additional editors, unless the content owner allows them to do so. Comment rights. Commenters are not allowed to edit the content directly. However, they will be able to highlight content within the documents (Docs, Sheets and Slides) and insert comments. This is particularly helpful with content reviewers, to suggest changes or provide input to the editors. View rights. This is the most restrictive visibility setting. In this setting, the collaborator can only view the document and has no edit or comment privileges.Revoking access. If, at any point, the owner does not want a particular user to have access to the document any longer, they would simply remove the user’s rights from the sharing screen. Once removed from sharing, any synced copies of the document would be removed from iPads, Android phones, synced folders, etc. In fact, if the removed user has the document open within their web browser, they would see this page within a few seconds of access revocation.
Auditing and alerts
Google is investing significantly into its audit and alert framework for Apps. The following is a description of the current features:
Google Drive Auditing. Google Docs and Sheets are covered by auditing. The auditing that is available now includes View and Edit events. The Edit event is a catchall event type that includes create, edit and delete functions.
Google Apps Alerts. This alert framework allows for Apps Administrators to be immediately notified immediately via email when a particular activity occurs. The alerts framework includes user actions, such as new user creation, suspicious activity on user accounts, account deletion, and any permission changes within the administrative console.
Content rights controls
Currently, non-Google formatted content (PDFs, MS Office files, videos, etc) can be restricted from download.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
26,"","Usage Rules. How have the rules for the acceptable use of information and assets associated with information processing systems been identified, documented, and implemented within your organization?","The foundation of Google’s commitment to security is its set of security policies that cover physical, account, data, corporate services, network and computer systems, applications services, systems services, change management, incident response, and data center security. These policies are reviewed on a regular basis to help ensure their continued effectiveness and accuracy. Google employees are required to conduct themselves in a manner consistent with the company’s guidelines regarding confidentiality, business ethics, appropriate usage, and professional standards.
In addition to these security policies, with which all persons employed by Google must comply, employees are also given a Security Primer. This document outlines the most important aspects of information security policy, such as the safe use of the Internet, working from remote locations safely, and how to label and handle sensitive data. Additional guidance is routinely given on policy topics of interest, especially in areas of emerging technology, such as the safe use of mobile devices and peer-to-peer software. These supplemental policy documents are written with Google’s core ideology of simplicity in mind, knowing that written policies are only effective if their information is consumed.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
27,"","Back-Ups. How are back-up copies of information and software performed and tested regularly at your company?","Google provides customers with security documentation including a security whitepaper and SOC 2/3 report that describe how we operate a global network with replication, failover and offsite backups.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
28,"","Electronic Media. Describe how electronic media are protected against unauthorized access, misuse or corruption when transported beyond your organization's physical boundaries.","N/A. We use networks for transporting data not electronic media","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
29,"","when transmitted via E-mail","Google has a strong track record as a leader and innovator in the delivery of secure cloud services to our customers. In recent years, Google has released HTTPS by default for all Gmail users, full HTTPS access to all Google Apps servers, Perfect Forward Secrecy (PFS) for secure email transmission and optimistic TLS for improved mail encryption.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
30,"","when in storage/at rest","Before it's stored, all data is broken up into smaller chunks and spread across Google’s servers, and identified by a unique ID. Each chunk of data is encrypted with a different encryption key. The data encryption key (DEK) is wrapped with a key encryption key (KEK). The wrapped DEK is stored next to the data chunk. Key encryption keys (KEK) are stored in Google’s Keystore, which is the same system used for all of Google’s production keys. Each data chunk has an ACL and access to that data is managed by the storage service. Keystore checks requests to unwrap keys from both individuals and services. Keystore logs requests to unwrap keys from both individuals and services.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
31,"","Do you have a managed program and process developed and maintained for business continuity throughout your company that addresses the information security requirements needed for your company's business continuity?","To minimize service disruption due to hardware failure, natural disaster or other catastrophes, Google implements a disaster recovery program for all its data centers. This program includes multiple components to minimize the risk of any single point of failure. To help ensure availability in the event of a disaster, data is replicated to one or more data centers. Google operates a geographically distributed set of data centers that are designed to maintain service continuity in the event of a disaster or other incident in a single region. High-speed connections between the data centers help ensure swift failover. Management of the data centers is also distributed to provide location-independent, around-the-clock coverage and system administration. In addition to the redundancy of data and regionally disparate data centers, Google also has a business continuity plan for its headquarters in Mountain View, California. This plan accounts for major disasters, such as seismic events or a public health crisis, and it assumes people and services may be unavailable for up to 30 days. This plan is designed to enable continued operations of our services for our customers. We conduct regular testing of our Disaster Recovery Plan.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
32,"","If “yes,” then please provide a copy of such Business Continuity Plan.","Google does not provide our Business Continuity Plan to customers, however our business continuity program is verified as part of our SOC 2 / 3 audit report","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
33,"","How is your Business Continuity Plan tested and updated regularly (at a minimum annually) to ensure that such Plan is up to date and effective?","Google performs annual testing of its business continuity plans. Our business continuity program is verified as part of our SOC 2 / 3 audit report.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
34,"","Have you developed and implemented a plan to maintain or restore operations and ensure availability of information at the required level and in the required time scales following interruption to, or failure of, critical business processes?","To minimize service disruption due to hardware failure, natural disaster or other catastrophes, Google implements a disaster recovery program for all its data centers. This program includes multiple components to minimize the risk of any single point of failure. To help ensure availability in the event of a disaster, data is replicated to one or more data centers. Google operates a geographically distributed set of data centers that are designed to maintain service continuity in the event of a disaster or other incident in a single region. High-speed connections between the data centers help ensure swift failover. Management of the data centers is also distributed to provide location-independent, around-the-clock coverage and system administration. In addition to the redundancy of data and regionally disparate data centers, Google also has a business continuity plan. This plan accounts for major disasters, such as seismic events or a public health crisis, and it assumes people and services may be unavailable for up to 30 days. This plan is designed to enable continued operations of our services for our customers. We conduct regular testing of our Disaster Recovery Plan.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
35,"","If “yes,” then please provide a copy of such Disaster Recovery Plan.","Google does not provide our Business Continuity Plan to customers, however our business continuity program is verified as part of our SOC 2 / 3 audit report","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
36,"","How is your Disaster Recovery Plan tested and updated regularly (at a minimum annually) to ensure that such Plan is up to date and effective?","Google performs annual testing of its business continuity plans to simulate disaster scenarios that simulate catastrophic events that may disrupt Google operations. Our business continuity program is verified as part of our SOC 2 / 3 audit report.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
37,"","Please list the URLs for all Site(s) that McKesson user might access.","These are the 2 sites relevant to Google Cloud customers.
https://cloud.google.com

https://console.cloud.google.com","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
38,"","For each Site, did your company develop the Site’s software itself (i.e., your company owns and maintains the software), or does your company license the software from a third party that also maintains the software?","Both sites are Google developed sites","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
39,"","Will McKesson have read-only access to the Site(s)?","Read-only for public:https://cloud.google.comis the public facing Google Cloud Platform site that contains information on products, solutions, launcher, pricing, customers, documentation, support, and partners.

Cloud Resource Configuration Site:https://console.cloud.google.comCloud Configuration Site for Google Cloud Platform customers","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
40,"","If “no” to 21.c. (i.e., McKesson will have some level of Site access other than read-only), then please describe such access.","https://console.cloud.google.comis the Google Cloud Platform Console that customers use to provision, configure, manage, de-provision Google Cloud resources","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
41,"","Will the McKesson user who accesses the Site(s) input any data to the Site(s)?","Yes, the McKesson user will use input configuration settings for each Google Cloud Resource (compute, storage, network) they provision, configure, and de-provision.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
42,"","If “yes” to 21.e., then please list all data elements that a McKesson user might input to the Site(s).","This is dependent on the resource that the McKesson user is trying to provision, configure, deprovision. Seehttps://cloud.google.comfor information on the various Google Cloud Platform resources.","McKesson","2016-07-15","https://docs.google.com/a/google.com/document/d/1YLVFPVFxmKXrpy4C96EqfFLR-RHIW0w0Ke8w8X5qquI/edit?usp=sharing"
